File Name	File Extension	File Size (KB)	Creation Date	File Path
app	.py	1.41	2024-12-20 14:59:26	C:\Users\ibrah\OneDrive\Desktop\Software\app.py
apppp	.py	2.26	2024-12-25 18:44:27	C:\Users\ibrah\OneDrive\Desktop\Software\apppp.py
index	.html	0.21	2024-12-26 15:43:33	C:\Users\ibrah\OneDrive\Desktop\Software\index.html
SesDosyalari_TamYolu	.csv	1.29	2024-12-22 15:43:10	C:\Users\ibrah\OneDrive\Desktop\Software\SesDosyalari_TamYolu.csv
SesDosyalari_TamYolu	.tsv	0.0	2024-12-22 15:45:30	C:\Users\ibrah\OneDrive\Desktop\Software\SesDosyalari_TamYolu.tsv
Yeni Microsoft Publisher Document	.pub	58.5	2024-12-22 16:17:56	C:\Users\ibrah\OneDrive\Desktop\Software\Yeni Microsoft Publisher Document.pub
cemre.Air Conditioning	.opus	5.1	2024-12-20 14:08:32	C:\Users\ibrah\OneDrive\Desktop\Software\cemre\ingilizce\cemre.Air Conditioning.opus
cemre.brightness	.opus	4.63	2024-12-20 14:08:21	C:\Users\ibrah\OneDrive\Desktop\Software\cemre\ingilizce\cemre.brightness.opus
cemre.heating	.opus	4.33	2024-12-20 14:09:00	C:\Users\ibrah\OneDrive\Desktop\Software\cemre\ingilizce\cemre.heating.opus
cemre.light	.opus	4.07	2024-12-20 14:07:35	C:\Users\ibrah\OneDrive\Desktop\Software\cemre\ingilizce\cemre.light.opus
cemre.multimedia	.opus	4.11	2024-12-20 14:07:56	C:\Users\ibrah\OneDrive\Desktop\Software\cemre\ingilizce\cemre.multimedia.opus
cemre.temperature	.opus	4.27	2024-12-20 14:09:53	C:\Users\ibrah\OneDrive\Desktop\Software\cemre\ingilizce\cemre.temperature.opus
cemre.the alarm	.opus	4.04	2024-12-20 14:07:44	C:\Users\ibrah\OneDrive\Desktop\Software\cemre\ingilizce\cemre.the alarm.opus
cemre.the fan	.opus	3.24	2024-12-20 14:09:00	C:\Users\ibrah\OneDrive\Desktop\Software\cemre\ingilizce\cemre.the fan.opus
cemre.the lighting	.opus	3.56	2024-12-20 14:08:10	C:\Users\ibrah\OneDrive\Desktop\Software\cemre\ingilizce\cemre.the lighting.opus
cemre.the room	.opus	3.45	2024-12-20 14:08:44	C:\Users\ibrah\OneDrive\Desktop\Software\cemre\ingilizce\cemre.the room.opus
cemre.alarmı	.opus	3.51	2024-12-22 16:06:24	C:\Users\ibrah\OneDrive\Desktop\Software\cemre\türkçe\cemre.alarmı.opus
cemre.aydınlatmayı	.opus	4.14	2024-12-22 16:06:38	C:\Users\ibrah\OneDrive\Desktop\Software\cemre\türkçe\cemre.aydınlatmayı.opus
cemre.fanı	.opus	2.91	2024-12-22 16:07:06	C:\Users\ibrah\OneDrive\Desktop\Software\cemre\türkçe\cemre.fanı.opus
cemre.iklimlendirmeyi	.opus	4.38	2024-12-22 16:06:53	C:\Users\ibrah\OneDrive\Desktop\Software\cemre\türkçe\cemre.iklimlendirmeyi.opus
cemre.multimedyayı	.opus	3.82	2024-12-22 16:06:30	C:\Users\ibrah\OneDrive\Desktop\Software\cemre\türkçe\cemre.multimedyayı.opus
cemre.odayı	.opus	2.89	2024-12-22 16:06:58	C:\Users\ibrah\OneDrive\Desktop\Software\cemre\türkçe\cemre.odayı.opus
cemre.parlaklığı	.opus	4.09	2024-12-22 16:06:45	C:\Users\ibrah\OneDrive\Desktop\Software\cemre\türkçe\cemre.parlaklığı.opus
cemre.sıcaklığı	.opus	3.25	2024-12-22 16:07:20	C:\Users\ibrah\OneDrive\Desktop\Software\cemre\türkçe\cemre.sıcaklığı.opus
cemre.ısıtmayı	.opus	3.05	2024-12-22 16:07:12	C:\Users\ibrah\OneDrive\Desktop\Software\cemre\türkçe\cemre.ısıtmayı.opus
cemre.ışığı	.opus	4.0	2024-12-22 16:06:14	C:\Users\ibrah\OneDrive\Desktop\Software\cemre\türkçe\cemre.ışığı.opus
gülsüm.Air Conditioning	.opus	4.77	2024-12-20 13:56:20	C:\Users\ibrah\OneDrive\Desktop\Software\gülsüm\ingilizce\gülsüm.Air Conditioning.opus
gülsüm.brightness	.opus	4.88	2024-12-20 13:55:59	C:\Users\ibrah\OneDrive\Desktop\Software\gülsüm\ingilizce\gülsüm.brightness.opus
gülsüm.heating	.opus	3.95	2024-12-20 13:56:51	C:\Users\ibrah\OneDrive\Desktop\Software\gülsüm\ingilizce\gülsüm.heating.opus
gülsüm.light	.opus	3.91	2024-12-20 13:54:56	C:\Users\ibrah\OneDrive\Desktop\Software\gülsüm\ingilizce\gülsüm.light.opus
gülsüm.multimedia	.opus	4.87	2024-12-20 13:55:26	C:\Users\ibrah\OneDrive\Desktop\Software\gülsüm\ingilizce\gülsüm.multimedia.opus
gülsüm.temperature	.opus	4.88	2024-12-20 13:57:06	C:\Users\ibrah\OneDrive\Desktop\Software\gülsüm\ingilizce\gülsüm.temperature.opus
gülsüm.the alarm	.opus	3.52	2024-12-20 13:55:11	C:\Users\ibrah\OneDrive\Desktop\Software\gülsüm\ingilizce\gülsüm.the alarm.opus
gülsüm.the fan	.opus	3.77	2024-12-20 13:56:38	C:\Users\ibrah\OneDrive\Desktop\Software\gülsüm\ingilizce\gülsüm.the fan.opus
gülsüm.the lighting	.opus	4.09	2024-12-20 13:55:40	C:\Users\ibrah\OneDrive\Desktop\Software\gülsüm\ingilizce\gülsüm.the lighting.opus
gülsüm.the room	.opus	3.68	2024-12-20 13:56:29	C:\Users\ibrah\OneDrive\Desktop\Software\gülsüm\ingilizce\gülsüm.the room.opus
gülsüm.alarmı	.opus	4.82	2024-12-20 13:51:53	C:\Users\ibrah\OneDrive\Desktop\Software\gülsüm\türkçe\gülsüm.alarmı.opus
gülsüm.aydınlatmayı	.opus	5.78	2024-12-20 13:52:31	C:\Users\ibrah\OneDrive\Desktop\Software\gülsüm\türkçe\gülsüm.aydınlatmayı.opus
gülsüm.fanı	.opus	3.37	2024-12-20 13:53:27	C:\Users\ibrah\OneDrive\Desktop\Software\gülsüm\türkçe\gülsüm.fanı.opus
gülsüm.iklimlendirmeyi	.opus	5.72	2024-12-20 13:53:03	C:\Users\ibrah\OneDrive\Desktop\Software\gülsüm\türkçe\gülsüm.iklimlendirmeyi.opus
gülsüm.multimediayı	.opus	5.02	2024-12-20 13:52:05	C:\Users\ibrah\OneDrive\Desktop\Software\gülsüm\türkçe\gülsüm.multimediayı.opus
gülsüm.odayı	.opus	4.33	2024-12-20 13:53:14	C:\Users\ibrah\OneDrive\Desktop\Software\gülsüm\türkçe\gülsüm.odayı.opus
gülsüm.parlaklığı	.opus	4.2	2024-12-20 13:52:46	C:\Users\ibrah\OneDrive\Desktop\Software\gülsüm\türkçe\gülsüm.parlaklığı.opus
gülsüm.sıcaklığı	.opus	4.61	2024-12-20 13:54:19	C:\Users\ibrah\OneDrive\Desktop\Software\gülsüm\türkçe\gülsüm.sıcaklığı.opus
gülsüm.ısıtmayı	.opus	4.32	2024-12-20 13:53:58	C:\Users\ibrah\OneDrive\Desktop\Software\gülsüm\türkçe\gülsüm.ısıtmayı.opus
gülsüm.ışığı	.opus	4.32	2024-12-20 13:51:29	C:\Users\ibrah\OneDrive\Desktop\Software\gülsüm\türkçe\gülsüm.ışığı.opus
sami.Air Conditioning	.opus	4.14	2024-12-19 19:09:27	C:\Users\ibrah\OneDrive\Desktop\Software\sami\ingilizce\sami.Air Conditioning.opus
sami.brightness	.opus	3.55	2024-12-19 19:09:06	C:\Users\ibrah\OneDrive\Desktop\Software\sami\ingilizce\sami.brightness.opus
sami.heating	.opus	4.5	2024-12-19 19:09:56	C:\Users\ibrah\OneDrive\Desktop\Software\sami\ingilizce\sami.heating.opus
sami.light	.opus	3.05	2024-12-19 19:08:14	C:\Users\ibrah\OneDrive\Desktop\Software\sami\ingilizce\sami.light.opus
sami.multimedia	.opus	3.49	2024-12-19 19:08:26	C:\Users\ibrah\OneDrive\Desktop\Software\sami\ingilizce\sami.multimedia.opus
sami.temperatures	.opus	3.69	2024-12-19 19:10:03	C:\Users\ibrah\OneDrive\Desktop\Software\sami\ingilizce\sami.temperatures.opus
sami.the alarm	.opus	3.64	2024-12-19 19:08:19	C:\Users\ibrah\OneDrive\Desktop\Software\sami\ingilizce\sami.the alarm.opus
sami.the fan	.opus	4.02	2024-12-19 19:09:51	C:\Users\ibrah\OneDrive\Desktop\Software\sami\ingilizce\sami.the fan.opus
sami.the lighting	.opus	3.3	2024-12-19 19:08:48	C:\Users\ibrah\OneDrive\Desktop\Software\sami\ingilizce\sami.the lighting.opus
sami.the room	.opus	2.79	2024-12-19 19:09:41	C:\Users\ibrah\OneDrive\Desktop\Software\sami\ingilizce\sami.the room.opus
sami.alarmı	.opus	3.76	2024-12-19 19:04:50	C:\Users\ibrah\OneDrive\Desktop\Software\sami\türkçe\sami.alarmı.opus
sami.aydınlatmayı	.opus	3.85	2024-12-19 19:05:07	C:\Users\ibrah\OneDrive\Desktop\Software\sami\türkçe\sami.aydınlatmayı.opus
sami.Fanı	.opus	2.79	2024-12-19 19:05:49	C:\Users\ibrah\OneDrive\Desktop\Software\sami\türkçe\sami.Fanı.opus
sami.iklimlendirmeyi	.opus	4.41	2024-12-19 19:05:37	C:\Users\ibrah\OneDrive\Desktop\Software\sami\türkçe\sami.iklimlendirmeyi.opus
sami.multimedyayı	.opus	3.66	2024-12-19 19:04:59	C:\Users\ibrah\OneDrive\Desktop\Software\sami\türkçe\sami.multimedyayı.opus
sami.odayı	.opus	2.64	2024-12-19 19:05:43	C:\Users\ibrah\OneDrive\Desktop\Software\sami\türkçe\sami.odayı.opus
sami.parlaklığı	.opus	3.34	2024-12-19 19:05:26	C:\Users\ibrah\OneDrive\Desktop\Software\sami\türkçe\sami.parlaklığı.opus
sami.sıcaklığı	.opus	3.65	2024-12-19 19:06:03	C:\Users\ibrah\OneDrive\Desktop\Software\sami\türkçe\sami.sıcaklığı.opus
sami.ısıtmayı	.opus	3.71	2024-12-19 19:05:55	C:\Users\ibrah\OneDrive\Desktop\Software\sami\türkçe\sami.ısıtmayı.opus
sami.ışığı	.opus	3.35	2024-12-19 19:04:43	C:\Users\ibrah\OneDrive\Desktop\Software\sami\türkçe\sami.ışığı.opus
sude.Air Conditioning	.opus	3.7	2024-12-20 14:04:50	C:\Users\ibrah\OneDrive\Desktop\Software\sude\ingilizce\sude.Air Conditioning.opus
sude.brightness	.opus	2.89	2024-12-20 14:04:39	C:\Users\ibrah\OneDrive\Desktop\Software\sude\ingilizce\sude.brightness.opus
sude.heating	.opus	2.34	2024-12-20 14:05:54	C:\Users\ibrah\OneDrive\Desktop\Software\sude\ingilizce\sude.heating.opus
sude.light	.opus	2.46	2024-12-20 14:03:41	C:\Users\ibrah\OneDrive\Desktop\Software\sude\ingilizce\sude.light.opus
sude.multimedia	.opus	3.04	2024-12-20 14:04:13	C:\Users\ibrah\OneDrive\Desktop\Software\sude\ingilizce\sude.multimedia.opus
sude.temperature	.opus	2.94	2024-12-20 14:06:01	C:\Users\ibrah\OneDrive\Desktop\Software\sude\ingilizce\sude.temperature.opus
sude.the alarm	.opus	2.4	2024-12-20 14:04:04	C:\Users\ibrah\OneDrive\Desktop\Software\sude\ingilizce\sude.the alarm.opus
sude.the fan	.opus	2.06	2024-12-20 14:05:13	C:\Users\ibrah\OneDrive\Desktop\Software\sude\ingilizce\sude.the fan.opus
sude.the lighting	.opus	2.77	2024-12-20 14:04:29	C:\Users\ibrah\OneDrive\Desktop\Software\sude\ingilizce\sude.the lighting.opus
sude.the room	.opus	2.17	2024-12-20 14:04:56	C:\Users\ibrah\OneDrive\Desktop\Software\sude\ingilizce\sude.the room.opus
sude.alarmı	.opus	2.94	2024-12-20 14:01:58	C:\Users\ibrah\OneDrive\Desktop\Software\sude\türkçe\sude.alarmı.opus
sude.aydınlatmayı	.opus	2.9	2024-12-20 14:02:19	C:\Users\ibrah\OneDrive\Desktop\Software\sude\türkçe\sude.aydınlatmayı.opus
sude.fanı	.opus	2.24	2024-12-20 14:02:58	C:\Users\ibrah\OneDrive\Desktop\Software\sude\türkçe\sude.fanı.opus
sude.iklimlendirmeyi	.opus	3.67	2024-12-20 14:02:45	C:\Users\ibrah\OneDrive\Desktop\Software\sude\türkçe\sude.iklimlendirmeyi.opus
sude.mulimediayı	.opus	3.3	2024-12-20 14:02:08	C:\Users\ibrah\OneDrive\Desktop\Software\sude\türkçe\sude.mulimediayı.opus
sude.odayı	.opus	2.35	2024-12-20 14:02:53	C:\Users\ibrah\OneDrive\Desktop\Software\sude\türkçe\sude.odayı.opus
sude.parlaklığı	.opus	2.9	2024-12-20 14:02:33	C:\Users\ibrah\OneDrive\Desktop\Software\sude\türkçe\sude.parlaklığı.opus
sude.sıcaklığı	.opus	2.42	2024-12-20 14:03:13	C:\Users\ibrah\OneDrive\Desktop\Software\sude\türkçe\sude.sıcaklığı.opus
sude.ısıtmayı	.opus	3.08	2024-12-20 14:03:06	C:\Users\ibrah\OneDrive\Desktop\Software\sude\türkçe\sude.ısıtmayı.opus
sude.ışığı	.opus	2.52	2024-12-20 14:01:46	C:\Users\ibrah\OneDrive\Desktop\Software\sude\türkçe\sude.ışığı.opus
zeynep.Air Conditioning	.opus	35.87	2024-12-22 16:01:41	C:\Users\ibrah\OneDrive\Desktop\Software\zeynep\ingilizce\zeynep.Air Conditioning.opus
zeynep.brighthness	.opus	34.5	2024-12-22 16:02:23	C:\Users\ibrah\OneDrive\Desktop\Software\zeynep\ingilizce\zeynep.brighthness.opus
zeynep.light	.opus	29.82	2024-12-22 16:01:29	C:\Users\ibrah\OneDrive\Desktop\Software\zeynep\ingilizce\zeynep.light.opus
zeynep.multimedia	.opus	34.84	2024-12-22 16:02:44	C:\Users\ibrah\OneDrive\Desktop\Software\zeynep\ingilizce\zeynep.multimedia.opus
zeynep.temperature	.opus	33.84	2024-12-22 16:01:58	C:\Users\ibrah\OneDrive\Desktop\Software\zeynep\ingilizce\zeynep.temperature.opus
zeynep.the alarm	.opus	31.83	2024-12-22 16:02:53	C:\Users\ibrah\OneDrive\Desktop\Software\zeynep\ingilizce\zeynep.the alarm.opus
zeynep.the fan	.opus	24.83	2024-12-22 16:02:31	C:\Users\ibrah\OneDrive\Desktop\Software\zeynep\ingilizce\zeynep.the fan.opus
zeynep.the lighting	.opus	31.17	2024-12-22 16:01:15	C:\Users\ibrah\OneDrive\Desktop\Software\zeynep\ingilizce\zeynep.the lighting.opus
zeynep.the room	.opus	33.52	2024-12-22 16:01:50	C:\Users\ibrah\OneDrive\Desktop\Software\zeynep\ingilizce\zeynep.the room.opus
zeynep.alarmı	.opus	34.49	2024-12-22 15:57:09	C:\Users\ibrah\OneDrive\Desktop\Software\zeynep\türkçe\zeynep.alarmı.opus
zeynep.aydınlatmayı	.opus	35.51	2024-12-22 15:59:01	C:\Users\ibrah\OneDrive\Desktop\Software\zeynep\türkçe\zeynep.aydınlatmayı.opus
zeynep.fanı	.opus	26.19	2024-12-22 15:58:20	C:\Users\ibrah\OneDrive\Desktop\Software\zeynep\türkçe\zeynep.fanı.opus
zeynep.iklimlendirmeyi	.opus	43.86	2024-12-22 15:57:50	C:\Users\ibrah\OneDrive\Desktop\Software\zeynep\türkçe\zeynep.iklimlendirmeyi.opus
zeynep.multimedyayı	.opus	34.21	2024-12-22 15:58:51	C:\Users\ibrah\OneDrive\Desktop\Software\zeynep\türkçe\zeynep.multimedyayı.opus
zeynep.odayı	.opus	28.51	2024-12-22 15:58:28	C:\Users\ibrah\OneDrive\Desktop\Software\zeynep\türkçe\zeynep.odayı.opus
zeynep.parlaklığı	.opus	32.87	2024-12-22 15:58:12	C:\Users\ibrah\OneDrive\Desktop\Software\zeynep\türkçe\zeynep.parlaklığı.opus
zeynep.sıcaklığı	.opus	33.51	2024-12-22 15:58:39	C:\Users\ibrah\OneDrive\Desktop\Software\zeynep\türkçe\zeynep.sıcaklığı.opus
zeynep.ısıtmayı	.opus	31.49	2024-12-22 15:56:27	C:\Users\ibrah\OneDrive\Desktop\Software\zeynep\türkçe\zeynep.ısıtmayı.opus
zeynep.ışığı	.opus	28.52	2024-12-22 15:58:00	C:\Users\ibrah\OneDrive\Desktop\Software\zeynep\türkçe\zeynep.ışığı.opus
ümran.Air Conditioning	.opus	3.77	2024-12-22 15:54:29	C:\Users\ibrah\OneDrive\Desktop\Software\ümran\ingilizce\ümran.Air Conditioning.opus
ümran.brightness	.opus	3.77	2024-12-22 15:54:16	C:\Users\ibrah\OneDrive\Desktop\Software\ümran\ingilizce\ümran.brightness.opus
ümran.heating	.opus	2.78	2024-12-22 15:54:46	C:\Users\ibrah\OneDrive\Desktop\Software\ümran\ingilizce\ümran.heating.opus
ümran.light	.opus	2.73	2024-12-22 15:53:35	C:\Users\ibrah\OneDrive\Desktop\Software\ümran\ingilizce\ümran.light.opus
ümran.multimedia	.opus	3.46	2024-12-22 15:53:55	C:\Users\ibrah\OneDrive\Desktop\Software\ümran\ingilizce\ümran.multimedia.opus
ümran.temperature	.opus	3.31	2024-12-22 15:54:55	C:\Users\ibrah\OneDrive\Desktop\Software\ümran\ingilizce\ümran.temperature.opus
ümran.the alarm	.opus	2.85	2024-12-22 15:53:47	C:\Users\ibrah\OneDrive\Desktop\Software\ümran\ingilizce\ümran.the alarm.opus
ümran.the fan	.opus	2.95	2024-12-22 15:55:03	C:\Users\ibrah\OneDrive\Desktop\Software\ümran\ingilizce\ümran.the fan.opus
ümran.the lighthing	.opus	2.91	2024-12-22 15:54:08	C:\Users\ibrah\OneDrive\Desktop\Software\ümran\ingilizce\ümran.the lighthing.opus
ümran.the room	.opus	2.69	2024-12-22 15:54:37	C:\Users\ibrah\OneDrive\Desktop\Software\ümran\ingilizce\ümran.the room.opus
ümran.alarmı	.opus	2.7	2024-12-22 15:52:06	C:\Users\ibrah\OneDrive\Desktop\Software\ümran\türkçe\ümran.alarmı.opus
ümran.aydınlatmayı	.opus	3.64	2024-12-22 15:52:24	C:\Users\ibrah\OneDrive\Desktop\Software\ümran\türkçe\ümran.aydınlatmayı.opus
ümran.fanı	.opus	2.28	2024-12-22 15:53:20	C:\Users\ibrah\OneDrive\Desktop\Software\ümran\türkçe\ümran.fanı.opus
ümran.iklimlendirmeyi	.opus	4.21	2024-12-22 15:52:43	C:\Users\ibrah\OneDrive\Desktop\Software\ümran\türkçe\ümran.iklimlendirmeyi.opus
ümran.multimedyayı	.opus	3.57	2024-12-22 15:52:15	C:\Users\ibrah\OneDrive\Desktop\Software\ümran\türkçe\ümran.multimedyayı.opus
ümran.odayı	.opus	2.59	2024-12-22 15:52:52	C:\Users\ibrah\OneDrive\Desktop\Software\ümran\türkçe\ümran.odayı.opus
ümran.parlaklığı	.opus	2.86	2024-12-22 15:52:33	C:\Users\ibrah\OneDrive\Desktop\Software\ümran\türkçe\ümran.parlaklığı.opus
ümran.sıcaklığı	.opus	3.27	2024-12-22 15:53:12	C:\Users\ibrah\OneDrive\Desktop\Software\ümran\türkçe\ümran.sıcaklığı.opus
ümran.ısıtmayı	.opus	3.4	2024-12-22 15:53:02	C:\Users\ibrah\OneDrive\Desktop\Software\ümran\türkçe\ümran.ısıtmayı.opus
ümran.ışığı	.opus	2.52	2024-12-20 14:13:18	C:\Users\ibrah\OneDrive\Desktop\Software\ümran\türkçe\ümran.ışığı.opus
